OPTIMAL FILE
Total Distance of Optimal Path: 7544.365901904087

HILL CLIMBING
Run 21: 10704.550235604362
Run 22: 10572.77530295316
Run 23: 10091.58072732189
Run 24: 9900.261807814204
Run 25: 10778.653115250294
Run 26: 10280.224645488364
Run 27: 10535.715001979563
Run 28: 10599.816449453145
Run 29: 10361.366985523084
Run 30: 11135.064532163644
Run 31: 10370.178171332882
Run 32: 9915.243861713103
Run 33: 9692.114920049009
Run 34: 9574.139298580423
Run 35: 10874.340719474534
Run 36: 9346.89906503711
Run 37: 9974.53474016161
Run 38: 10374.189878236406
Run 39: 9737.558941315705
Run 40: 11000.401043189968
Run 41: 10193.876383847779
Run 42: 9837.417605992416
Run 43: 9396.35028458939
Run 44: 10098.16118861828
Run 45: 10407.252306372086
Run 46: 11998.699131892647
Run 47: 10337.770798271793
Run 48: 10287.470033052929
Run 49: 9564.229751817313
Run 50: 9691.627300988506
