OPTIMAL FILE
Total Distance of Optimal Path: 33523.70850743559

HILL CLIMBING
Run 20: 53615.01470022812 
Run 21: 48535.530852769254
Run 22: 49357.418658138224
Run 23: 50271.9153467322  
Run 24: 52234.606499011505
Run 25: 42362.94122380285 
Run 26: 51055.955186831605
Run 27: 53593.40593313065 
Run 28: 46754.856339264385
Run 29: 59049.65524636628
Run 30: 51286.518693336235
Run 31: 49062.96781375567
Run 32: 46164.14108510922
Run 33: 43924.50355592018
Run 34: 41540.13658290006
Run 35: 50799.03540833483
Run 36: 37539.83228051007
Run 37: 45239.38983726484
Run 38: 53511.686998699566
Run 39: 44596.588477099824
Run 40: 44779.92956928616
Run 41: 40373.04676663197
Run 42: 53298.35660901035
Run 43: 55698.44456793902
Run 44: 46747.53449876501
Run 45: 50269.62330504151
Run 46: 54594.395639063725
Run 47: 39729.93007619626
Run 48: 44933.19609222296
Run 49: 52404.190542754484
Run 50: 46706.13098348265
